Latitude (decimal degrees):	46.019
Longitude (decimal degrees):	8.787
Elevation (m):	436
Radiation database:	PVGIS-SARAH3


Slope: 22 deg. 
Azimuth: -160 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,5.26,0.9,0.0
20230101:0110,0.0,0.0,0.0,5.36,0.9,0.0
20230101:0210,0.0,0.0,0.0,5.39,0.9,0.0
20230101:0310,0.0,0.0,0.0,5.43,0.9,0.0
20230101:0410,0.0,0.0,0.0,5.38,0.97,0.0
20230101:0510,0.0,0.0,0.0,5.38,0.9,0.0
20230101:0610,0.0,0.0,0.0,5.37,0.9,0.0
20230101:0710,0.0,0.0,0.0,5.42,0.83,0.0
20230101:0810,31.31,45.44,7.74,5.62,0.83,0.0
20230101:0910,38.31,53.02,14.25,6.13,0.69,0.0
20230101:1010,120.1,137.14,18.76,7.07,0.62,0.0
20230101:1110,91.52,107.74,20.86,7.76,0.55,0.0
20230101:1210,107.86,124.02,20.31,7.87,0.62,0.0
20230101:1310,39.64,54.91,17.17,8.38,0.55,0.0
20230101:1410,36.11,51.12,11.78,8.36,0.69,0.0
20230101:1510,12.8,24.61,4.58,8.02,0.76,0.0
20230101:1610,0.0,0.0,0.0,7.25,0.83,0.0
20230101:1710,0.0,0.0,0.0,6.59,0.9,0.0
20230101:1810,0.0,0.0,0.0,6.21,0.9,0.0
20230101:1910,0.0,0.0,0.0,6.5,0.69,0.0
20230101:2010,0.0,0.0,0.0,6.39,0.76,0.0
20230101:2110,0.0,0.0,0.0,6.38,0.69,0.0
20230101:2210,0.0,0.0,0.0,6.32,0.69,0.0
20230101:2310,0.0,0.0,0.0,6.29,0.69,0.0
20230102:0010,0.0,0.0,0.0,6.4,0.69,0.0
20230102:0110,0.0,0.0,0.0,6.52,0.69,0.0
20230102:0210,0.0,0.0,0.0,6.64,0.69,0.0
20230102:0310,0.0,0.0,0.0,6.63,0.69,0.0
20230102:0410,0.0,0.0,0.0,6.45,0.76,0.0
20230102:0510,0.0,0.0,0.0,6.43,0.76,0.0
20230102:0610,0.0,0.0,0.0,6.47,0.76,0.0
20230102:0710,0.0,0.0,0.0,6.58,0.55,0.0
20230102:0810,1.43,8.52,7.76,6.73,0.48,0.0
20230102:0910,17.63,30.29,14.28,6.76,0.48,0.0
20230102:1010,23.28,36.88,18.82,7.55,0.41,0.0
20230102:1110,51.24,66.97,20.94,7.87,0.48,0.0
20230102:1210,54.13,70.06,20.4,8.21,0.48,0.0
20230102:1310,98.14,114.55,17.28,8.25,0.62,0.0
20230102:1410,61.47,77.63,11.9,8.32,0.62,0.0
20230102:1510,10.54,21.77,4.71,7.97,0.62,0.0
20230102:1610,0.0,0.0,0.0,7.42,0.69,0.0
20230102:1710,0.0,0.0,0.0,6.94,0.76,0.0
20230102:1810,0.0,0.0,0.0,6.72,0.76,0.0
20230102:1910,0.0,0.0,0.0,6.62,0.69,0.0
20230102:2010,0.0,0.0,0.0,6.49,0.69,0.0
20230102:2110,0.0,0.0,0.0,6.35,0.76,0.0
20230102:2210,0.0,0.0,0.0,6.2,0.76,0.0
20230102:2310,0.0,0.0,0.0,6.11,0.76,0.0
20230103:0010,0.0,0.0,0.0,5.94,0.83,0.0
20230103:0110,0.0,0.0,0.0,5.96,0.76,0.0
20230103:0210,0.0,0.0,0.0,5.93,0.76,0.0
20230103:0310,0.0,0.0,0.0,5.96,0.76,0.0
20230103:0410,0.0,0.0,0.0,5.95,0.76,0.0
20230103:0510,0.0,0.0,0.0,5.95,0.69,0.0
20230103:0610,0.0,0.0,0.0,5.93,0.69,0.0
20230103:0710,0.0,0.0,0.0,6.03,0.62,0.0
20230103:0810,25.18,38.82,7.78,6.15,0.62,0.0
20230103:0910,82.75,98.46,14.33,6.47,0.55,0.0
20230103:1010,38.42,53.38,18.88,7.25,0.41,0.0
20230103:1110,29.39,43.68,21.02,7.5,0.34,0.0
20230103:1210,85.06,101.3,20.51,7.67,0.34,0.0
20230103:1310,62.47,78.58,17.4,7.98,0.34,0.0
20230103:1410,37.9,53.02,12.03,8.13,0.28,0.0
20230103:1510,0.0,4.73,4.85,8.13,0.21,0.0
20230103:1610,0.0,0.0,0.0,7.68,0.28,0.0
20230103:1710,0.0,0.0,0.0,6.83,0.55,0.0
20230103:1810,0.0,0.0,0.0,6.05,0.69,0.0
20230103:1910,0.0,0.0,0.0,5.98,0.83,0.0
20230103:2010,0.0,0.0,0.0,4.51,0.97,0.0
20230103:2110,0.0,0.0,0.0,3.03,1.1,0.0
20230103:2210,0.0,0.0,0.0,1.79,1.17,0.0
20230103:2310,0.0,0.0,0.0,0.99,1.24,0.0
20230104:0010,0.0,0.0,0.0,0.18,1.24,0.0
20230104:0110,0.0,0.0,0.0,-0.78,1.38,0.0
20230104:0210,0.0,0.0,0.0,-1.21,1.38,0.0
20230104:0310,0.0,0.0,0.0,-1.48,1.38,0.0
20230104:0410,0.0,0.0,0.0,-1.43,1.31,0.0
20230104:0510,0.0,0.0,0.0,-1.77,1.31,0.0
20230104:0610,0.0,0.0,0.0,-1.74,1.31,0.0
20230104:0710,0.0,0.0,0.0,-0.48,1.31,0.0
20230104:0810,18.33,30.29,7.81,-0.44,1.31,0.0
20230104:0910,32.93,46.39,14.38,1.22,1.17,0.0
20230104:1010,20.78,51.71,18.96,3.57,0.97,0.0
20230104:1110,27.77,53.25,21.12,6.34,0.69,0.0
20230104:1210,118.97,135.38,20.62,8.32,0.34,0.0
20230104:1310,107.06,124.02,17.53,9.05,0.07,0.0
20230104:1410,63.08,79.52,12.17,8.97,0.28,0.0
20230104:1510,15.09,27.45,4.99,8.41,0.34,0.0
20230104:1610,0.0,0.0,0.0,7.61,0.21,0.0
20230104:1710,0.0,0.0,0.0,6.72,0.07,0.0
20230104:1810,0.0,0.0,0.0,5.99,0.21,0.0
20230104:1910,0.0,0.0,0.0,6.08,0.55,0.0
20230104:2010,0.0,0.0,0.0,5.55,0.69,0.0
20230104:2110,0.0,0.0,0.0,5.08,0.83,0.0
20230104:2210,0.0,0.0,0.0,4.76,0.97,0.0
20230104:2310,0.0,0.0,0.0,4.51,0.97,0.0
20230105:0010,0.0,0.0,0.0,4.38,1.03,0.0
20230105:0110,0.0,0.0,0.0,4.26,1.03,0.0
20230105:0210,0.0,0.0,0.0,4.08,1.03,0.0
20230105:0310,0.0,0.0,0.0,4.08,1.1,0.0
20230105:0410,0.0,0.0,0.0,3.96,1.1,0.0
20230105:0510,0.0,0.0,0.0,4.33,1.17,0.0
20230105:0610,0.0,0.0,0.0,4.3,1.17,0.0
20230105:0710,0.0,0.0,0.0,4.74,1.03,0.0
20230105:0810,20.33,33.13,7.85,4.54,1.1,0.0
20230105:0910,25.28,38.82,14.44,5.41,0.83,0.0
20230105:1010,82.75,99.0,19.04,7.93,0.76,0.0
20230105:1110,117.97,135.2,21.22,9.65,0.69,0.0
20230105:1210,141.31,159.05,20.74,10.9,0.76,0.0
