Latitude (decimal degrees):	45.798
Longitude (decimal degrees):	8.571
Elevation (m):	216
Radiation database:	PVGIS-SARAH3


Slope: 22 deg. 
Azimuth: 140 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,7.36,1.31,0.0
20230101:0110,0.0,0.0,0.0,7.24,1.31,0.0
20230101:0210,0.0,0.0,0.0,7.3,1.24,0.0
20230101:0310,0.0,0.0,0.0,7.27,1.24,0.0
20230101:0410,0.0,0.0,0.0,7.22,1.24,0.0
20230101:0510,0.0,0.0,0.0,7.31,1.31,0.0
20230101:0610,0.0,0.0,0.0,7.28,1.38,0.0
20230101:0710,0.0,0.0,0.0,7.04,1.03,0.0
20230101:0810,33.68,48.28,7.79,7.25,1.03,0.0
20230101:0910,29.24,43.55,14.35,7.84,0.97,0.0
20230101:1010,89.59,106.03,18.92,8.48,1.03,0.0
20230101:1110,86.14,102.89,21.07,9.21,0.97,0.0
20230101:1210,77.31,94.15,20.55,9.59,0.9,0.0
20230101:1310,51.62,67.94,17.43,10.17,0.9,0.0
20230101:1410,59.21,77.07,12.05,10.08,0.9,0.0
20230101:1510,15.22,29.88,4.84,9.91,1.03,0.0
20230101:1610,0.0,0.0,0.0,9.47,1.17,0.0
20230101:1710,0.0,0.0,0.0,9.01,1.24,0.0
20230101:1810,0.0,0.0,0.0,8.57,1.17,0.0
20230101:1910,0.0,0.0,0.0,8.26,0.97,0.0
20230101:2010,0.0,0.0,0.0,8.14,0.97,0.0
20230101:2110,0.0,0.0,0.0,8.06,0.97,0.0
20230101:2210,0.0,0.0,0.0,7.95,0.97,0.0
20230101:2310,0.0,0.0,0.0,7.76,1.1,0.0
20230102:0010,0.0,0.0,0.0,7.69,1.1,0.0
20230102:0110,0.0,0.0,0.0,7.65,1.03,0.0
20230102:0210,0.0,0.0,0.0,7.68,0.97,0.0
20230102:0310,0.0,0.0,0.0,7.77,0.97,0.0
20230102:0410,0.0,0.0,0.0,7.65,1.03,0.0
20230102:0510,0.0,0.0,0.0,7.7,0.97,0.0
20230102:0610,0.0,0.0,0.0,7.81,0.9,0.0
20230102:0710,0.0,0.0,0.0,7.58,0.76,0.0
20230102:0810,1.42,8.52,7.8,7.74,0.62,0.0
20230102:0910,21.56,35.03,14.39,8.3,0.48,0.0
20230102:1010,63.11,79.52,18.98,8.94,0.48,0.0
20230102:1110,75.43,92.21,21.14,9.35,0.55,0.0
20230102:1210,101.32,118.71,20.65,9.74,0.69,0.0
20230102:1310,67.64,84.44,17.55,9.91,0.69,0.0
20230102:1410,52.98,69.87,12.17,10.06,0.48,0.0
20230102:1510,11.77,24.0,4.97,9.74,0.62,0.0
20230102:1610,0.0,0.0,0.0,9.41,0.9,0.0
20230102:1710,0.0,0.0,0.0,9.17,1.1,0.0
20230102:1810,0.0,0.0,0.0,8.98,1.17,0.0
20230102:1910,0.0,0.0,0.0,8.76,0.83,0.0
20230102:2010,0.0,0.0,0.0,8.8,0.76,0.0
20230102:2110,0.0,0.0,0.0,8.54,0.9,0.0
20230102:2210,0.0,0.0,0.0,8.37,0.97,0.0
20230102:2310,0.0,0.0,0.0,8.28,1.03,0.0
20230103:0010,0.0,0.0,0.0,8.23,1.03,0.0
20230103:0110,0.0,0.0,0.0,8.18,1.03,0.0
20230103:0210,0.0,0.0,0.0,8.15,0.9,0.0
20230103:0310,0.0,0.0,0.0,8.12,0.83,0.0
20230103:0410,0.0,0.0,0.0,8.03,0.76,0.0
20230103:0510,0.0,0.0,0.0,8.06,0.69,0.0
20230103:0610,0.0,0.0,0.0,8.14,0.69,0.0
20230103:0710,0.0,0.0,0.0,7.83,0.69,0.0
20230103:0810,5.6,15.15,7.83,7.93,0.62,0.0
20230103:0910,85.68,102.24,14.43,8.53,0.48,0.0
