Latitude (decimal degrees):	46.089
Longitude (decimal degrees):	8.734
Elevation (m):	365
Radiation database:	PVGIS-SARAH3


Slope: 22 deg. 
Azimuth: 160 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,5.26,0.9,0.0
20230101:0110,0.0,0.0,0.0,5.36,0.9,0.0
20230101:0210,0.0,0.0,0.0,5.39,0.9,0.0
20230101:0310,0.0,0.0,0.0,5.43,0.9,0.0
20230101:0410,0.0,0.0,0.0,5.38,0.97,0.0
20230101:0510,0.0,0.0,0.0,5.38,0.9,0.0
20230101:0610,0.0,0.0,0.0,5.37,0.9,0.0
20230101:0710,0.0,0.0,0.0,5.42,0.83,0.0
20230101:0810,28.7,42.6,7.66,5.62,0.83,0.0
20230101:0910,27.75,41.66,14.17,6.13,0.69,0.0
20230101:1010,105.4,121.18,18.68,7.07,0.62,0.0
20230101:1110,119.37,135.38,20.78,7.76,0.55,0.0
20230101:1210,97.92,114.24,20.24,7.87,0.62,0.0
20230101:1310,83.87,100.35,17.12,8.38,0.55,0.0
20230101:1410,56.86,72.9,11.74,8.36,0.69,0.0
20230101:1510,9.8,20.83,4.57,8.02,0.76,0.0
20230101:1610,0.0,0.0,0.0,7.25,0.83,0.0
20230101:1710,0.0,0.0,0.0,6.59,0.9,0.0
20230101:1810,0.0,0.0,0.0,6.21,0.9,0.0
20230101:1910,0.0,0.0,0.0,6.5,0.69,0.0
20230101:2010,0.0,0.0,0.0,6.39,0.76,0.0
20230101:2110,0.0,0.0,0.0,6.38,0.69,0.0
20230101:2210,0.0,0.0,0.0,6.32,0.69,0.0
20230101:2310,0.0,0.0,0.0,6.29,0.69,0.0
20230102:0010,0.0,0.0,0.0,6.4,0.69,0.0
20230102:0110,0.0,0.0,0.0,6.52,0.69,0.0
20230102:0210,0.0,0.0,0.0,6.64,0.69,0.0
20230102:0310,0.0,0.0,0.0,6.63,0.69,0.0
20230102:0410,0.0,0.0,0.0,6.45,0.76,0.0
20230102:0510,0.0,0.0,0.0,6.43,0.76,0.0
20230102:0610,0.0,0.0,0.0,6.47,0.76,0.0
20230102:0710,0.0,0.0,0.0,6.58,0.55,0.0
20230102:0810,1.43,8.52,7.68,6.73,0.48,0.0
20230102:0910,19.26,32.19,14.2,6.76,0.48,0.0
20230102:1010,21.64,35.03,18.74,7.55,0.41,0.0
20230102:1110,41.52,56.8,20.86,7.87,0.48,0.0
20230102:1210,114.35,130.98,20.34,8.21,0.48,0.0
20230102:1310,77.35,93.72,17.23,8.25,0.62,0.0
20230102:1410,57.78,73.84,11.87,8.32,0.62,0.0
20230102:1510,10.54,21.77,4.69,7.97,0.62,0.0
20230102:1610,0.0,0.0,0.0,7.42,0.69,0.0
20230102:1710,0.0,0.0,0.0,6.94,0.76,0.0
20230102:1810,0.0,0.0,0.0,6.72,0.76,0.0
20230102:1910,0.0,0.0,0.0,6.62,0.69,0.0
20230102:2010,0.0,0.0,0.0,6.49,0.69,0.0
20230102:2110,0.0,0.0,0.0,6.35,0.76,0.0
20230102:2210,0.0,0.0,0.0,6.2,0.76,0.0
20230102:2310,0.0,0.0,0.0,6.11,0.76,0.0
20230103:0010,0.0,0.0,0.0,5.94,0.83,0.0
20230103:0110,0.0,0.0,0.0,5.96,0.76,0.0
20230103:0210,0.0,0.0,0.0,5.93,0.76,0.0
20230103:0310,0.0,0.0,0.0,5.96,0.76,0.0
20230103:0410,0.0,0.0,0.0,5.95,0.76,0.0
20230103:0510,0.0,0.0,0.0,5.95,0.69,0.0
20230103:0610,0.0,0.0,0.0,5.93,0.69,0.0
20230103:0710,0.0,0.0,0.0,6.03,0.62,0.0
20230103:0810,29.48,43.55,7.71,6.15,0.62,0.0
20230103:0910,65.76,81.42,14.25,6.47,0.55,0.0
20230103:1010,39.86,54.91,18.81,7.25,0.41,0.0
20230103:1110,39.8,54.91,20.95,7.5,0.34,0.0
20230103:1210,132.04,149.63,20.45,7.67,0.34,0.0
20230103:1310,27.48,41.66,17.35,7.98,0.34,0.0
20230103:1410,60.56,76.68,12.0,8.13,0.28,0.0
20230103:1510,7.64,17.99,4.83,8.13,0.21,0.0
20230103:1610,0.0,0.0,0.0,7.68,0.28,0.0
20230103:1710,0.0,0.0,0.0,6.83,0.55,0.0
20230103:1810,0.0,0.0,0.0,6.05,0.69,0.0
20230103:1910,0.0,0.0,0.0,5.98,0.83,0.0
20230103:2010,0.0,0.0,0.0,4.51,0.97,0.0
20230103:2110,0.0,0.0,0.0,3.03,1.1,0.0
20230103:2210,0.0,0.0,0.0,1.79,1.17,0.0
20230103:2310,0.0,0.0,0.0,0.99,1.24,0.0
20230104:0010,0.0,0.0,0.0,0.18,1.24,0.0
20230104:0110,0.0,0.0,0.0,-0.78,1.38,0.0
20230104:0210,0.0,0.0,0.0,-1.21,1.38,0.0
20230104:0310,0.0,0.0,0.0,-1.48,1.38,0.0
20230104:0410,0.0,0.0,0.0,-1.43,1.31,0.0
20230104:0510,0.0,0.0,0.0,-1.77,1.31,0.0
20230104:0610,0.0,0.0,0.0,-1.74,1.31,0.0
20230104:0710,0.0,0.0,0.0,-0.48,1.31,0.0
20230104:0810,20.87,33.13,7.74,-0.44,1.31,0.0
20230104:0910,26.72,39.76,14.3,1.22,1.17,0.0
20230104:1010,31.65,45.44,18.88,3.57,0.97,0.0
20230104:1110,57.43,72.9,21.04,6.34,0.69,0.0
20230104:1210,85.11,109.72,20.56,8.32,0.34,0.0
20230104:1310,112.74,129.7,17.48,9.05,0.07,0.0
20230104:1410,52.08,68.16,12.13,8.97,0.28,0.0
20230104:1510,15.88,28.4,4.97,8.41,0.34,0.0
20230104:1610,0.0,0.0,0.0,7.61,0.21,0.0
20230104:1710,0.0,0.0,0.0,6.72,0.07,0.0
20230104:1810,0.0,0.0,0.0,5.99,0.21,0.0
20230104:1910,0.0,0.0,0.0,6.08,0.55,0.0
20230104:2010,0.0,0.0,0.0,5.55,0.69,0.0
20230104:2110,0.0,0.0,0.0,5.08,0.83,0.0
20230104:2210,0.0,0.0,0.0,4.76,0.97,0.0
20230104:2310,0.0,0.0,0.0,4.51,0.97,0.0
20230105:0010,0.0,0.0,0.0,4.38,1.03,0.0
20230105:0110,0.0,0.0,0.0,4.26,1.03,0.0
20230105:0210,0.0,0.0,0.0,4.08,1.03,0.0
20230105:0310,0.0,0.0,0.0,4.08,1.1,0.0
20230105:0410,0.0,0.0,0.0,3.96,1.1,0.0
20230105:0510,0.0,0.0,0.0,4.33,1.17,0.0
20230105:0610,0.0,0.0,0.0,4.3,1.17,0.0
20230105:0710,0.0,0.0,0.0,4.74,1.03,0.0
20230105:0810,6.41,16.09,7.78,4.54,1.1,0.0
20230105:0910,27.86,41.66,14.36,5.41,0.83,0.0
20230105:1010,68.12,84.26,18.96,7.93,0.76,0.0
20230105:1110,112.64,129.7,21.15,9.65,0.69,0.0
20230105:1210,109.0,132.73,20.68,10.9,0.76,0.0
